Epoch,EvalLoss,EvalIoU,EvalDice
1,0.4174295381495827,0.3573961555957794,0.48303634908638504
2,0.37092403479312597,0.418775899237708,0.5581777303626663
3,0.3337966815421456,0.42637572280670466,0.5631826657213663
4,0.3183694828889872,0.43326955876852336,0.5682859801148114
5,0.3109688354950202,0.42929921063937637,0.5636141206088819
6,0.3251295415194411,0.39269029584370163,0.5189847299142888
7,0.29727640159820257,0.44732250351654856,0.5852128479041552
8,0.29487028816028643,0.4459299525540126,0.5819481207351935
9,0.2922468979499842,0.4480364424617667,0.5840015948603028
10,0.2920594260488686,0.4551381013895336,0.5948082706645915
11,0.28711842961217227,0.4576499713094611,0.5926318143151308
12,0.2966008478481519,0.4541378880017682,0.5974219762965253
13,0.30433824521146324,0.45684222916239187,0.5940404126518651
14,0.2864038503091586,0.4857942426675244,0.6234077693600404
15,0.2852531106848466,0.4811493621060723,0.6155240974928203
16,0.2978132984748012,0.47230164471425506,0.6111205212379757
17,0.2827891134902051,0.4883819438124958,0.6227076437912489
18,0.28511533278383705,0.486365939833616,0.6205077869327444
19,0.2785932384431362,0.4922888639726137,0.6281060764664098
20,0.279377296959099,0.49109357595443726,0.6265153061402472
21,0.28094058660300153,0.49070218636801366,0.6268672500001756
22,0.29035195159284694,0.47000903283294876,0.6018843556705274
23,0.2881121227615758,0.47836078154413325,0.6135299213622746
24,0.2773960150386158,0.4955242405596532,0.6318300527177358
25,0.2836753347594487,0.4882121713537919,0.623246254105317
26,0.2827131991323672,0.4897479595322358,0.6257153231846658
27,0.29812336987570714,0.4535666264985737,0.5837573146349505
28,0.28691072742405693,0.4862069240526149,0.6234401193888564
29,0.28643590153047915,0.48636209729470703,0.6230336749239972
30,0.2877982578387386,0.4863022448200929,0.623618558049202
31,0.2869733319078621,0.4844140563356249,0.6209655384484091
32,0.2933676578104496,0.47466657232297094,0.6123718062513753
33,0.2885857820510864,0.4816108051883547,0.6184817070239469
34,0.29127498951397446,0.47872486592907654,0.6146028422211346
35,0.2947070486843586,0.47474626373303563,0.611782468855381
36,0.30044498706334516,0.46099359149995606,0.5958881817365947
37,0.29069170395010396,0.48335668052497666,0.619433270865365
38,0.29665785812233625,0.47400712966918945,0.6107866932687006
39,0.29481765725894976,0.47919660492947225,0.6170780023461894
